product_id,product_name,category,price,cost
PROD_0001,Hydrating Hyaluronic Acid Serum,Beauty & Personal Care,73.5,14.51
PROD_0002,Performance Moisture-Wicking Hoodie,Apparel & Accessories,102.0,38.35
PROD_0003,Ultralight 2-Person Backpacking Tent,Sports & Outdoors,340.99,154.31
PROD_0004,Mineral Daily Sunscreen SPF 50,Beauty & Personal Care,53.99,20.22
PROD_0005,Smart Home Security Camera Hub,Electronics,128.0,103.96
PROD_0006,The Agile Technology Organization,Books & Media,21.0,13.3
PROD_0007,Natural Tea Tree Purifying Toner,Beauty & Personal Care,26.5,6.27
PROD_0008,Botanical Nourishing Night Cream,Beauty & Personal Care,13.99,3.05
PROD_0009,Active Fitness Smartwatch,,1034.99,826.43
PROD_0010,Bamboo Cutting Board with Juice Groove,Home & Kitchen,213.99,122.76
PROD_0011,Tailored Wool Blend Overcoat,Apparel & Accessories,78.5,22.05
PROD_0012,Principles of Customer Centricity,Books & Media,40.0,25.51
PROD_0013,Stainless Steel French Press Coffee Maker,Home & Kitchen,240.99,124.03
PROD_0014,Insulated Hydro Stainless Water Bottle 32oz,Sports & Outdoors,278.5,172.07
PROD_0015,Organic Pima Cotton Crewneck Tee,Apparel & Accessories,52.0,23.26
PROD_0016,Performance Moisture-Wicking Hoodie - Edition 2,Apparel & Accessories,45.5,14.23
PROD_0017,Non-Stick Ceramic Cookware 10-Pc Set,Home & Kitchen,336.0,139.58
PROD_0018,Ultra HD 4K Smart Monitor,Electronics,1188.5,951.01
PROD_0019,Reflective LED Running Vest,Sports & Outdoors,202.0,122.01
PROD_0020,Weighted Cooling Blanket 15-lb,Home & Kitchen,262.99,132.7
PROD_0021,Hydrating Hyaluronic Acid Serum - Edition 2,Beauty & Personal Care,50.0,18.01
PROD_0022,Polarized UV400 Wayfarer Sunglasses,Apparel & Accessories,169.99,80.08
PROD_0023,Behavioral Economics in E-Commerce,Books & Media,19.99,12.03
PROD_0024,Insulated Hydro Stainless Water Bottle 32oz - Edition 2,Sports & Outdoors,256.99,133.98
PROD_0025,Sonic Electric Toothbrush with UV Sanitizer,Beauty & Personal Care,18.99,4.07
PROD_0026,True Wireless Earbuds with ANC,Electronics,781.99,570.16
PROD_0027,Damascus Steel 8-Inch Chef Knife,Home & Kitchen,235.0,138.0
PROD_0028,Compact Dual-Band Wi-Fi 6 Router,Electronics,468.0,348.41
PROD_0029,20000mAh Power Bank Fast Charger,Electronics,435.0,327.31
PROD_0030,Collagen Peptide Firming Eye Cream,Beauty & Personal Care,75.0,15.94
PROD_0031,Hydrating Hyaluronic Acid Serum - Edition 3,,53.99,14.62
PROD_0032,Financial Modeling for Technology Executives,Books & Media,44.0,27.8
PROD_0033,All-Weather Lightweight Windbreaker,Apparel & Accessories,101.0,46.36
PROD_0034,Slim-Fit Stretch Denim Jeans,Apparel & Accessories,84.5,25.06
PROD_0035,Cordless Rechargeable Stick Vacuum,Home & Kitchen,222.99,117.17
PROD_0036,Precision Bluetooth Optical Mouse,Electronics,266.99,218.0
PROD_0037,Smart Home Security Camera Hub - Edition 2,Electronics,1116.5,867.46
PROD_0038,Cast Iron Pre-Seasoned Dutch Oven,Home & Kitchen,212.99,127.45
PROD_0039,Tailored Wool Blend Overcoat - Edition 2,Apparel & Accessories,64.99,22.96
PROD_0040,Collagen Peptide Firming Eye Cream - Edition 2,Beauty & Personal Care,93.5,24.64
PROD_0041,Fleece-Lined Winter Beanie,Apparel & Accessories,97.0,29.04
PROD_0042,Non-Slip High-Density Yoga Mat,Sports & Outdoors,309.0,132.05
PROD_0043,Organic Argan Oil Hair Repair Mask,Beauty & Personal Care,76.99,28.86
PROD_0044,Performance Moisture-Wicking Hoodie - Edition 3,Apparel & Accessories,140.0,54.88
PROD_0045,Heavy-Duty Resistance Bands Set,Sports & Outdoors,243.0,103.53
